,sentence,label
2726,"Severek ve. yorumları okuyarak aldım. Ama ‘işte o kısım sorunlu. 1 aydır kullanıyorum ve kalp ritmi, koşu ve yürüyüş mesafesi , kalori hesaplama hep hatalı. Eğer spor için bir arkadaş arıyorsanız bu cihaz o cihaz değil. Evet sevimli, kolay bağlanıyor  7 plus bir iphone ile başarılı bağlanıyor ama kendi kendine kapanıyor. Tekrar başlatınca da donup kalıyor. İndoor koşu yürüyüş  spor için iyi değil. Fiyatı bir apple watch veya Garmin, Polar değil ama dikkat edin. Hiç memnun değilim ve 1 ayda bozuldu. Geri alacaklarını bilsem iade ederim ama almazlar. Bilinen rüştünü ispat etmiş markalardan şaşmamak lazım. Ben bir hata yaptım siz yapmayın.",Olumsuz
2727,fiyatına göre çok güzel,Olumlu
2728,"Güzel ürün, kullanışlı teşekkürler.",Olumlu
2729,Ürün çok güzel ve kaliteli çok güzel tost yapıyor herkese tavsiye ederim,Olumlu
2730,Ürün çok iyi cıktı kargo zamanında geldi ambalajı sağlamdı eski makinem çok kötüydü aradaki farkı gördüm pişman olmayacağınız bi ürün,Olumlu
2731,iyi bir telefon.,Olumlu
2732,"ürün kırık geldi gönderdim reddedildi .çünkü kutuda hasar yok plastik
aksamlı rondo içinde top gibi oynuyordu ve kırılmıştı hiç bir önlem
yoktu kutu tertemiz ama ürün açtım ki kırık bu yüzden üründe geri almadı
kargo kabul etmedi",Olumsuz
2733,Bu fiyata en iyisi,Olumlu
2734,ALT SUYUNU KENDİNİZ KAYNAT TUŞUNA BASMADAN KAYNAR HALDE TUTMUYOR. ÇAYI ÇOK LEZZETLİ GELMEDİ. İŞ YERİMİZ İÇİN ALDIK AMA MEMNUN KALMADIK,Olumsuz
2735,Fiyat performans muhteşem,Olumlu
2736,Ürünü bugün teslim aldım ancak dolabın yanları aşırı ısınıyor bu normal mi kullanan arkadaşlar konuyla ilgili bi bilgi verirseniz sevinirim,Olumsuz
2737,Ürün kırık teslim edildi.,Olumsuz
2738,ALMAYIN DERİM.,Olumsuz
2739,Tek kelimeyle harika bir ütü yorumları okudum  olumsuz diyen arkadaşlar kargo ve paketleme ve de aldıkları firma memnuniyetsizliği  ütü için  olumsuz dönüş yok gibi,Olumlu
2740,ürün hem fiyat hem performans acısından güzel,Olumlu
2741,Bu fiyata kacırılmaz,Olumlu
2742,"ürün ödemesini yapıyorsunuz daha sonra 15 dakika içerisinde Biri sizi
arıyor ve diyor ki siparişinizi aldık en geç 24 saat içerisinde ürün
elinizde olacak kibarca bilgi veriyor yönlendiriyor sizin adınıza Bosch
yetkili servisini arıyorlar ürün 24 saat içerisinde elime ulaştı Horoz
Lojistik tarafından getirildi daha sonra Bosch yetkili servisi gelip
kurulumu yaptı hiçbir sorun yaşamadım yetkili bayi ile aynı Depodan
gelen ürün yetkili bayiden yüzde yirmi beş daha ucuza aynı teslimat
kanalıyla elime ulaştı satıcıya teşekkür ederim",Olumlu
2743,Sahaaaaneee,Olumlu
2744,şaban sakallı,Olumlu
2745,Süper hızlı satıcı paketleme güzel ellerine sağlık,Olumlu
2746,"ürün camının köşede öss az bir kısmı çatlamış. Ürün çift motorlu
olmasına rağmen çekmiyor gibi.",Olumsuz
2747,"Küçük ve ince kılları bile çok zor alıyor. Çin malı, seyyarda satılan traş makineleri bile daha iyi. 1,5 aydır kullanıyorum ve kullanışsız olduğuna emin oldum. Tavsiye etmiyorum.",Olumsuz
2748,Avantajlar : Fiyat<br />Dezavantajlar : Kargolama berbat<br />Ürüne kavusamadik ki yorum yapalım.stoktan hızlı gönderi aldık 3. Gün hala yok .bilgi verende yok,Olumlu
2749,ürün fiyatına göre çok iyi bence. 3 günde elime ulaştı. Herkese tavsiye ederim..,Olumlu
2750,"iki sene önce aldım günlük kullanım için süper  sosyal medya haberler YouTube gibi ama oyun için yeterli olmayabilir. Metal kasası premium hissi veriyor. Ekran kalitesi net, kamera da  gayet iyi, bana göre Samsung un keyifle kullandığım en iyi telefon. Eksi yönü telefon hoparlör ve tek elle kullanımı biraz zor.",Olumlu
2751,Üzücü memnun değilim ocağından bozuk geldi aspatör 3 gün sonra ses çıkarmaya başladııı....😤,Olumsuz
2752,Ürün gayet şık ve güzel sitede yer alan görseli ile birebir fakat ürün koli içi kontrol edilmemiş ve kırık,Olumsuz
2753,Hayır içi kırıktı,Olumsuz
2754,mükemmel.,Olumlu
2755,Ses kalitesi okadar düşük ki 5 liralık kulakliklar on basar buna kimseye tavsiye etmiyorum aldigim için çok pismanim kargo isleri ile uğraşmaya vaktim olmadığı için ürünü iade edemedim para çöpe gitti açıkçası tv bilgisayar telefon ses sistemi hepsinde denedim ama ses cok az,Olumsuz
2756,Alırken Ütü tabanı çizilmez dediler  çizildi.ayrıca  Taban alti deforme oldu kumaşı cekme yapıyor   üzerindeki sticker düştü  bugün servise gönderdim değişim talep ediyorum .  Ben memnun kalmadım.,Olumsuz
2757,"çünkü firma ucuz olsun diye içindek uzak doğu led fanları 3- 5 sene
yanıyor buda  500 TL ile 750 TL arasında tutuyor  adam gibi mal üretin
snr bir yerde çoluk çocuğunuzdan çıkar",Olumsuz
2758,Ürün gerçekten kaliteli bıçakları olsun makine gücü olsun ve paketlenmesi de çok iyiydi,Olumlu
2759,Ürün güzel kullanışlı aynı göründüğü şekil üzere geldi. Memnunuz,Olumsuz
2760,Ürün gayet güzel tavsiye ederim çekim gücü biraz az,Olumlu
2761,evet bikez kullandim dwneme iyi duruyo zamanla gorecegiz sorum yok gibi,Olumlu
2762,"Ben hayatım boyunca böyle güzel elektrik süpürge görmedim ben bugüne
kadar temizlik yapmamisim süper bir elektrik süpürgesi herkese gönül
rahatlığı ile tavsiye ederim",Olumlu
2763,"Ürün oldukça işlevsiz. 6 ay sonra şarj tutmamaya başladı.Uzun süre
kullanacaksınız kesinlikle Huawei dışında bir ürün alın. Geceleri
titreyip uykumdan uyandırıyor. Haftada bir kendisini sıfırlıyor.
Garantiye götürmek istediğimde Huawei garantisi yok diye teknik
servisten geri çevrildim. Kısacası Huawei markalardan uzak durun.",Olumsuz
2764,Yetersiz,Olumsuz
2765,internetten aldım 1.si bozuldu.değiştirildi ikincisi de bozuldu.memnun değilim,Olumsuz
2766,iyi ürün..................,Olumlu
2767,bir çok marka arasından seçtim bu ürünü suyu sıcak tutmuyor çayı berbat buz gibi oluyor ketle olarak kullanıyorum korkmaz gibi bir markaya bu ürünü yakıştıramadım. amacına uygun olmayan bir ürünü piyasaya sürmesini hiç doğru bulmuyorum hiç tavsiye etmiyorum,Olumsuz
2768,ÜRÜN GAYET GÜZEL. ANNEME DE ALDIM.,Olumlu
2769,"Daha öncede kazanlı ütü kullandım. Bu ütü mükemmel. Gerek kullanma kolaylığı gerekse kazandırdığı hız beş yıldızı hak ediyor. 
Kullanırken elinize dikkat edin. Mesela ütü sağ elinizde ise ve sol elle de ütülenecek malzemeyi tutuyorsanız, ütü sol elinize yakınden buhar basmayın. Elinizi fena YAKABİLİRSİNİZ..",Olumlu
2770,"Ürün çok geç geldi , 1 hafta sonra teslim edildi. Ayrıca diğer
kullanıcılarında söylediği gibi ürün güzel ama gürültülü çalışıyor.",Olumsuz
2771,Ürün gerçekten fiyat/performans isteyenler için ideal.,Olumlu
2772,"Kendim eski model arçelik kullanıyorum anneme de birtane almak istedim. Fiyat ve görüntü olarak arzum okka hoşuma gitti bugün geldi hemen denedim ve süper! Fiyat, görsel ve performans açısından şahane. Kahvem gayet köpüklü oldu. Önce kaynatmıyor sandım ama kahveyi yudumlayınca dilim yandı :) düşünmeden alabilirsiniz",Olumlu
2773,Berbat sakın almayın,Olumsuz
2774,"Başka marka aynı aletten kullanmadık ama çekiş gücünün oldukça zayıf
olduğuna inanıyorum.   Hele her çekme öncesi filtresini temizlemezseniz
kesinlikle çekmiyor. İdare eder diyelim.",Olumsuz
2775,"Ürünü gayet başarılı, çok teşekkür ederim",Olumlu
2776,Bu ürün afedersiniz ama birşeye yaramaz,Olumsuz
2777,Çok geç gönderdiler. Kargo bilgisi de  girmediler. Ürünün kutusu açılmış ve tekrar bantlanmıştı. Ürün normalde de güzel değil. Bence alınmaz.,Olumsuz
2778,Ürün iyi sorunsuz çalışıyor.,Olumsuz
2779,ürün beklentilerimi karşıladı büyüklüğü yeterli çabuk ısınıyor memnunum,Olumlu
2780,Mağazadan kaynaklı paketleme sorunu yaşadım.,Olumsuz
2781,10000 dediğine bakmayın 3000 anca çıkartıyor. Ama ucuz işte,Olumsuz
2782,"Simfer’in ocağını aldığım için kesinlikle pişmanım! Satın aldıktan kısa süre sonra, ocakların üzerinde bulunan ayakların kaymaya başladığını fark ettim. Çünkü emaye malzemenin ocaktan kaymaması için hiçbir önlem alınmamış, sürekli tencereyi tutarak kullanmak zorundasınız. Firmayı bu konuda arayıp çözüm üretmelerini istediğimizde, “kaymayan ayak” almamız gerektiğini söylediler. Yani 4 adet ayağı toplam 160 TL’ye (!) satın almanız lazım. Kullanım esnasında ocağın cam yüzeyinde, ayaklar etrafında “temizlenemeyen” lekelenmeler oluştu. Bu nedenle teknik servis çağırdık. Gelen personel lekelerin titiz kullanılmadığı için oluştuğunu söyledi. Oldukça titiz ve temiz kullanmamıza rağmen, “standart temizlik malzemesi” ile kullandığımız için temizlenmediğini söyledi. Çünkü bu ocak “sadece ve sadece” 750ml’si  85 TL’den satılan, kendi “özel” temizleyici sıvısı ile temizlemesi gerekirmiş. Kısa bir hesap yaparsak, “uygun fiyatlı” ocağın sağlıklı kullanılabilmesi için, (ocak 360 TL +  4 adet ayak 160 TL + temizleyici sıvı 85 TL) toplam 605 TL harcamanız gerekiyor :) İşin saçma olan yanı ise ürünü satarken veya kurarken 85TL’lik temizlik sıvısından da bahsedilmediğidir. Söyleselerdi zaten direkt iade ederdik. Tüm bunların sonucunda teknik yetkili; siteden satın alırken kılavuz okuyabiliyormuşuz gibi “kılavuzda her şeyin yazdığını okumadınız mı?” diye sorarak sorumluluğu müşteriye mal etti. Ne var ki bu sorunlar kısa sürede fark edilebilecek sorunlar değil, birkaç aylık kullanımda ortaya çıkacak şeylerdir. Üstelik garanti süresi içinde ortaya çıkmasına rağmen, garanti kapsamına alınmıyor. Tam tersine çözüm için daha fazla para harcamak zorunda bırakılıyorsunuz.

Müşteri memnuniyetinden ve çözümleyici anlayıştan bu kadar uzak bir firma hiç görmedim ve ürünü aldığıma çok pişmanım. Bu sorunlar gelen teknik personelin değil, Simfer’in satış sonrası hizmet anlayışıdır.",Olumsuz
2783,"sevgili arkadaşlar süpürgenin çekim gücü iyi. Ama dikkat edeceğiniz hususları aksamları çok kötü 1 yıl olmadan kumandalı yeri kırıldı ücretli değiştirdiler, arkasından metal görünen ama metal olmadığı kırılınca anlaşılan boruları çok kötü.
Önerir miyim önermem!!!",Olumsuz
2784,"Ürünü çok begenmedim. Çünkü kahve yaptıktan sonra yıkıyorum kurusun diye
ters çeviriyorum kuruduğunda aldıgımda bi yerinden kahve sızdırıyor.
Yani cezve in içinde iç tarafa dogru ya bi sızıntı var yada başka bişi
anlamadım. Çokda sevemedim onun için",Olumsuz
2785,"Boo*k gibi menü, kanal düzenleme igrenç, favorileri düzrnlemek ölùm",Olumsuz
2786,Tenda d301  ile  tivibu  kullanan  varmı   ayarlarını   yapamıyorum   yardimci  olurmusunuz,Olumsuz
2787,"Eski ütümüz arıza yapıp, yetkili servisin tamir masrafı diye yeni bir ütü parası isteyince aldığımız bir ürün. Çok memnunuz. Yoğun ütü yapanlara tavsiye, çok etkili bir ütü.",Olumlu
2788,Yorumlara bakıyorumda herkes memnun. Ben aynı fikirde değilim bizde yeni aldığımız günlerde aynı şeyleri düşünüyorduk. Sorun çok cihaz garantili olduğu için servis tarafından komple sökülüp götürüldü fabrikaya bildirmişler  fabrika ise stoklarında bunun motorundan olmadığı için belki kadim ayının ortalarında göndereceklerini söylüyorlar.  Soruyorum bu markaya hala güveniyorsanız  bekleyin ilk arızada bana hak vereceksiniz. Müşterisini ciddiye almayan BAYMAK  bu yorumu okursa seviniriz. Yazın en sıcak ayında  zorunlu olarak karşısında ortipedik bir hastayı uzun zamandan beri mağdur ettiler. Ihtiyacimizi 7/24 açık  olan vantilatorle gidermeye çalışıyoruz. Bu yazdıklarımı belgeleyebilirim.,Olumsuz
2789,"geldi, taktım ve bozuk......",Olumsuz
2790,rengi bi tik soluk fakat ozenle paketlenmis bi sekilde geldi.,Olumlu
2791,Hızlı teslimat kaliteli ürün teşekkürler.,Olumlu
2792,Olumsuz yönleri: kalitesiz ve kullanışsız bir ürün. her tarafı oyuncaktan bile daha kalitesiz plastikle kaplı. Ayrıca haznesi çıkartılıp yıkanmıyor devre üstünde olduğu için. Asla tavsiye etmem 330 tl çöpe gitti,Olumsuz
2793,Kesinlikle fiyat performans ürünü değil.,Olumsuz
2794,Gayet memnun kaldım,Olumlu
2795,Çeyizim için almıştım çok memnun kaldım. Sıfır sorun. Süper paketleme.,Olumlu
2796,Yan odada sinyali tam görse de veri transferi 3 mbite kadar düşüyor. Antika modemim daha randımanlıydı. Tek odalı ev ve iş yeri için olabilir ancak.,Olumsuz
2797,beğenmedim ürün defolu geldi,Olumsuz
2798,"ürün 1 Haftada Kastamonuya elime ulaştı.horoz lojistik getirdi. yetkili servise ücret ödemedim. servis ürünü açtığında sol yanda altta küçük 2 tane ezik vardı. , sol ayakta kırıktı görünmediği için  birde değiştirme işlemi  uzun süreceği için  kabul ettim aldım . üründen memnunum. fiyatıda iyi tavsiye ederim.",Olumlu
2799,Üzerine 1000 lira verip gt2 alırım daha iyi. Aynı özellikleri yarı fiyatına yapan rakipleri var üstelik.  Samsung biraz abartmış.,Olumsuz
2800,Harika bir ütü çok memnunum,Olumlu
2801,Herhangi bir olumsuzluk yok,Olumlu
2802,Ürün güzel ama 20 günde anca gelebildi,Olumsuz
2803,"Ürünle ilgili herhangi bir sıkıntı yok fakat ürünü 1 haftada teslim
aldım kargoya önce fatura adresine teslimat verilmiş sonra saçma bir
yerin adresi verilmiş kimin hatası bilmiyorum fakat MNG kargo
telefonlarını açmadı bizim değil mağazanın hatası dedi. Sonuç olarak
mağdur ben oldum ,. 1 hafta kargo kovaladım.  Lütfen ürünü sattıktan
sonra da özen gösterin.",Olumsuz
2804,beklediğim gibiydi,Olumlu
2805,"Gerçekten çok güçlü bir süpürge diğer üst modellerine boşuna para vermeyin, ben memnunum, alanlara hayırlı olsun. Eski süpürgem de philipsti.  Kalitesi tartışılmaz",Olumlu
2806,Ürün beklenen tarihten önce geldi...Ürün tüm özellikleri ile birebir örtüşmektedir...Teşekkürler,Olumlu
2807,"Üç adet almıştım. Kendime , kayınvalidem, anneme... Daha doğru düzgün kullanmadan dişlisi kırılmis. Garanti kapsamına girmiyormus. Üçünde de aynı sorun çıkıyorsa, üründe sorun var demektir. Daha iki haftada üç ürün de bozuldu. Küçücük plastik disliye otuz lira istiyorlar utanmadan. Arzum bana uzak olsun artık.",Olumsuz
2808,çok güzel bir ürün herkese tavsiye ederim tereddütsüz alın bir tane aldım birtanede anneme alacağım şimdi...,Olumlu
2809,6383 buzdolabı aldım bir ay olmadan arıza yaptı kart bozuk dediler dolabın yenisini talep ettim onaylandı geliyor diye mesaj geldi ama onbeş gündür ses yok arıyorum arıyorum gelecek diyorlar,Olumsuz
2810,"Ürün elime ulaşmadı.5 gündür kargo aktarmada görünüyor.Defalarca mesaj
attım mağaza dönüş yapmadı.Ürün yok ortada alış veriş otomatik
tamamlanıyor.Ne hakla?Fotoğraf sürat kargonun şubesinden kusa bir
kesit.Kargo ürün filan dağıtamıyor .İptal olmuş vaziyette.",Olumsuz
2811,adi hemen bozulduu,Olumsuz
2812,Ürüne kanpanya reklmına bakarken denk geldi. Ben üç yıldır kullanıyorum çekişinden bir şey kaybetmedi. Sadece hrpa filtereletşni zamanında temizleyin kullanın gitsin ben dyson almayı düşünen biri olarak tesadüfen aldım ama çok memnunum. Gerçek anlamda alacsk kişilere yardımcı olmak adına yorum yapıyorum.,Olumlu
2813,Aldığım günden beri fırın bozuk 35 azami 40daikada pişecek kek 60daikada zor pişiyor.Servis gelmiyor gelirse ücret istiyor neymiş küçük ev aletlerine servis yokmuş fırının hala garanti süresinde velakin servis bana cik uzak fırın taşınacak gibi değil .ayrıca eve servis geldi 50tl yi aldı sorun yok deyip gitti ama sorun var.olan bana oluyor.60dk kek 120dk börek  balık et gibi yiyecekleri pişirmek için Elektrikge. 300tl öderim her hal kisacasi fırın sorunlu arabam olmadigindan servise goturemiyorum böylece kararım asla luxsel ev aletleri almayın varsa Arçelik Beko gibi ürünler alın derim.ben müşteri hizmetlerinden memnunum çok ilgilendiler ama üriünler fiyasko.,Olumsuz
2814,"Olumlu yönleri: GİTTİ GİDİYORDAN  MENMUNUM

Olumsuz yönleri: ARIZALI ÜRÜN GÖNDERDİLER ,",Olumsuz
2815,Evet istediğim gibi bir ürün,Olumlu
2816,Ürünün sadece sürmesı cok kolay ama hemen dagılıyor akıyor hıc kalıcı degil . Tavsıye etmem..,Olumsuz
2817,ürünü alamadim bile,Olumsuz
2818,Çok kullanışlı ve çok güzel yapıyor tahmin ettiğimdende çok daha iyi teşekkürler 🙏,Olumlu
2819,Hassaslık konusunda ise iyi fakat küçük ellerim olmasına rağmen ütün bana küçük geldi ve gün sonunda elimde ağrı yaptı. Tavsiye etmiyorum.,Olumsuz
2820,Bio puanlarını alan bir satıcı,Olumsuz
2821,Ürünü piyasada uygun fiyata başka ürün bulamadığım için aldım ama beklediğimden çok kötü. Sinyal gücü kötü ve devamlı reset atmanız gerekiyor. Wireless devamlı bozuluyor. Ancak süs olarak 2 adet antenle birlikte geliyor.,Olumsuz
2822,Alçak seviyede dinlerken idare eder ancak orta ve biraz üzeri seviyede midtonlarda cızırtı yapıyor. Ürünün bilgisayarla olan değil de hoparlörlerin birbiriyle olan bağlantı kablosu çok kısa 29 inch monitörü ancak geçiyor.,Olumsuz
2823,"AirTies Air 5343 sipariş etmiştim ancak yerine AirTiesair 5453
gönderilmiş. Ancak kullanım kılavuzunun içinde kurşun kalemle yazılmış
çeşitli notlar bulunması ürünün sıfır ürün olduğu konusunda kafamda soru
işareti oluşturdu. Ürünün dış görünümünde ve çalışmasında bir sorun
olmadığı ve bozulan modemimin yerine aldığımdan daha fazla internetsiz
kalmamak için iade etmedim. Ürüne yıldız vermiyorum.",Olumsuz
2824,hayır beyenmedim,Olumsuz
2825,"Samsung'daki klasik ekranın sarı olması (ayarlarla düzeltilememesi) ve parmak izi okuyucusunun çok kötü olması dışında, gerçekten fiyat performans ürünü. Kamerası hiç fena değil. Ekran genişliği çok iyi. Kişiselleştirmeye çok müsait. Kullanımı pratik. Konuşma sesleri temiz, çekim gücü kuvvetli. Çok memnun kaldım.",Olumlu
2826,"8 yıl önce lg 42 lm serisi almıştım ve tv den gayet memnundum ancak ekran kırılmasından dolayı bu tv yi aldım eski tv min görüntü özelliği ve teknolojisi bundan eski olmasına rağmen yeni tv ye göre görüntü kalitesi olarak fhd 4k falan olmasına rağmen bundan daha iyiydi, tv ye karşıdan bakınca çok iyi ama hafif kenardan bakınca ekran kalitesi çok düşüyor renkler soluklasiyor birde tv yi sabitlersiniz işin içinden çıkılmıyor, tv arkasına doğru ve ekran çerçevesi çok kalın maalesef aldığıma pişman oldum, bunu alacağınıza 1000 tl az vererek axen 55"" fhd 4 k tv yi alın.",Olumsuz
2827,Bu fiyata alibabilecek en iyi urun kesinlikle tavsiye ediyorum,Olumlu
2828,henüz kurulum yaptıramadım,Olumsuz
2829,kesinlikle cok guzel fiyatına gore cok iyi  ve kullanisli,Olumlu
2830,"Hayır çalışmıyor sıfır ürün Şaşırtıcı olan internet sitesinde almakmış
acaba Dilerim site olaya el atarda",Olumsuz
2831,çok katı ve saça şekil vermek zor size tavsiyem almayın ben memnun kalmadım zaten kargo firmasına ürünü geç yolluyor sisteme ürünün durumunu geç yazıyor,Olumsuz
2832,Mağazadakiyle aynı hem daha uygun,Olumlu
2833,urun gercekten cok guzel memnun kaldim tskler,Olumlu
2834,Buradan Hepsiburada.com a çok ama çok teşekkür ederim bu kadar uygun ve kaliteli bir ürünü bizle buluşturduğu için. Ürün fiyatına göre çok çok kaliteli çok uygun fiyat herkesin işini görebilir şiddetle tavsiye ediyorum gönül rahatlığı ile alabilirsiniz hiç bir eksiği yok zaten Vestel kalitesinde ve güvencesinde bu ürün kaçmaz..Fiyatına göre sorunsuz kaliteli bı ürün servis ağı çok kaliteli bence dünyanın en kaliteli firmalarından birinin ürünü kesinlikle alın..,Olumlu
2835,"ürün plastik çok kötü bu paraya değmez bunu tuş sesleri çok felaket
sesli ve çok sert maus öle bildiğiniz 20 tllik maus tan farkı yok pişman
oldum aldiğima almiş bulundum görerek almak en mantıklısı bence",Olumsuz
2836,"Annem 3 yıldır, ben 2 yıldır kullanıyorum. Çok memnunuz. Çekiş gücünün aynı kalması için filtre temizliğini yapmalısınız. Sadece bir süngeri yıkayıp kurutuyorsunuz ve tekrar yerleştiriyorsunuz zor değil. Makinenizi temiz kullanıp bakımını yaparsanız bir sorun çıkmaz. Ayrıca hız kademeleri ve başlık ayarları gayet iyi.",Olumlu
2837,fiyatanin üstün de bir ürün güzel beğendim..,Olumlu
2838,BIÇAKLAR KISA BİR SÜREDE AŞIRI ISINIYOR,Olumsuz
2839,"Eminim ki kendi evlerinde yada is yerlerinde sattiklari 1 tane malzemeyi
kullanmiyorlardir.Resmen 2 3 ay dayanacak kalitede berbat ürünler.Çinden
ithal ettikleri 3. sınıf ürünleri sıfır diye millete cazip gösterip
kakaliyorlar.Gidin internet kafeden 2. el ayni paraya kaliteli bişey alın.",Olumsuz
2840,"Arzum AR3051 Çaycı Lux Çay Makinesi

İlk Kullanımda İçinde Bir Noktada küflenme paslanma oldu. Güvenerek Aldım Ama Pişman Oldum. Tavsiye etmem. Alacak Olanlar Başka Ürünlere Baksınlar...",Olumsuz
2841,bu paraya bu telefon pes dogrusu. zaman kaybetmeden alın.,Olumlu
2842,Ya arkadaşlar rami kaç gybt ???,Olumsuz
2843,bugün ilk defa kullandım kek yapayım dedim ortasını hiç pişirmedi kenarlar süper ortası aynı koyduğum gibi beni hayal kırıklığına uğrattı doğrusu 1 puan veriyorum o da kargoda herhangi bir problem yaşamadığım için,Olumsuz
2844,"27 ağustosta aldım. Sağ kulaklığı çalışmıyor, mikrofon çalışıyor ama. Gerçekten o kadar para verdiğime pişmanım.",Olumsuz
2845,Avantajlar : Fiyat performans<br />Gerçekten fiyat ve özellik olarak çok iyi görünüyor.Almak istiyorum,Olumlu
2846,1 ay oldu ekran gitti remin yerini değiştirdim 15 dk ekran geldi tekrar gitti  yarın bilgisayarcıya götüreceğim.Hiiiiiiç memnun değilim.Ayıp ya daha 1.taksidini ödedim.Güya sıfır mal aldık. Yeni bilgisayar istiyorum,Olumsuz
2847,"Tefal XXL rondo aldım ürün geldiğinde kutusu original bantlı değildi
ürünü boş çalıştırdım başlık kısmı düzgün oturmuyor diye geri gönderdim
kullanılmış ürün diye iademi kabul etmedi ve kargo parasını da bana
ödettirdi verdiğim hiçbir parayı helal etmiyorum",Olumsuz
2848,Beğendik uzun vadede inşallah iş görür,Olumlu
2849,Çekim gücü iyi.sesi de çok yüksek  değil. Bu fiyata ideal bir ürün.,Olumsuz
2850,Arçelik güvenilir bir marka benim için.ilk defa bu süpürgede problem yaşadım.4-5kez kullandıktan sonra.hazneyi temizledik.tekrar taktım .emiş gücü düşmüştü.hata mı yaptım acaba deyip eşime söyledim.ama hatam yoktu.servise gönderdik.teleskopik boru değiştirilmiş iyiydi.sonra yine aynı problem...farkettimki hazneyi yerleştirmeyi yapamıyorum mu acaba dedim.defalarca tekrar denedim.olmuyor.yine serviste....bakalım ne olacak😦,Olumsuz
2851,urun anlatildigi gibiydi.  cok memnunum.,Olumlu
2852,"İnanılmaz güzel bir ütü , tavsiye ederim.",Olumlu
2853,Herseyiyle harika.hepsi burada güvenli alisverisiyle harika .tesekkurler,Olumlu
2854,ürün güzel sizik kırık buzuk gönderilmemiş hızlı gönderi özellikle aras kargo getirmedi çok sevindim teşekkürler.,Olumlu
2855,"Memnun kaldım, pahalı süpürgelerden eksiği yok bence.",Olumlu
2856,Seyahatlerde hayat kurtarıcı,Olumlu
2857,Hayır beğenmedim ürün çok kötü tavsiye etmiyorum.,Olumsuz
2858,"Ürünü alalı 20 gün oldu toplam 5-6 kez kullandım  başlığını bile
ambalajından çıkarmadım,en son 2 gün önce çalıştırdım çekiş gücü yok
olmuş, durduğu yerde nefes darlığı hastalığına yakalandı makine çok
garip, tek kullanımlık ürün  gibi, bi çuval para verdik yazıklar olsun,
gırgır daha iyi çekiyor.  Firmaya ilettim teknik servise götür diyo,
sanki 3 yıldır kullanıyorumda servise götürücem. 600 lira para ver bide
peşinde dolan",Olumsuz
2859,Olumlu yönleri: Genelde beklentilerimi karşıladı. Halı performansını bilmiyorum ama parkede minik bir canavar. Hafifliği benim için önemli.,Olumlu
2860,Hızlı şekilde geldi paketlenmesi gayet güzeldi. Çok memnunum ev süpürmek keyifli bir hal aldı. Teşekkürler,Olumlu
2861,"Kargo hızlı. Ürün iyi. Sesi biraz fazla ama sorun değil. Evdeki normal
süpürgeden daha iyi çekiyor. Teşekkürler.",Olumlu
2862,"Ürünü piyasadan yine ucuz buradan buldum aldım. Dışarıdaki fiyat ile
arasında en az 70 TL fark var. Sorunsuz bir alış veriş oldu",Olumlu
2863,harika aşırı kullanışlı ve ısısı çok güzel! paketleme harikaydi!,Olumlu
2864,"Ürünü kullanmadım ama gönderim hiç bekletilmeden yapıldı.benzer bir kaç
ürün daha var ama bu daha sağlam ve iş görür gibi duruyor. Ayrıca
piyasaya ve diğer internet satışlara bakıldığında fiyat bir hayli aşağı",Olumlu
2865,"ürün geldiği günden beri terleme yapıyor. servis geldi, bu ürün bu şekilde çalışır dedi gitti. kesinlikle peş para etmez, tavsiye etmiyorum. iç hacmi de acaip küçük.",Olumsuz
2866,Ürünü cok beyendim bu kadar beklemiyordum teşekkürler.,Olumlu
2867,"Ben bu telefonu satın alalı 4 yıl oldu . Bugüne kadar ne sorun çıkarttı nede üzdü.  Tam tersi bir çok telefonda olmayan özellikleri var. Kamerasi gayet iyi. Performans acısından da gayet yeterli. Sonuçta bir cep telefonu bir bilgisayar değil. Oyun performansı, seriligi, vs iyi bir cihaz. Yeni bir cihaz almayı düşündüğümde bu özelliklerde cihazların fiyatları neredeyse motorsiklet fiyatlarında. Bu cihazı aldirdigim iki arkadasimda cok memnunlar. Tavsiye ederim.",Olumlu
2868,fiyat performans ürünü,Olumlu
2869,"açık söyleyim , kullanmadan önce acaba 1 seferde olsa aracı
temizleyebilir miyim dedim ama, işim yarıda kaldı. 1 kere bile temizliği
bitiremeden paydos etti. 60tl 60 dır. paranızı heba etmeyin.",Olumsuz
